Bit 1 [1, 2, 4, 6]
Bit 91 [1270528664148057959272808448, 3069410283734626171235598336, 5854775372126731789758627840, 8021170440876147270832095232]
Bit 92 [3069410283734626171235598336, 5854775372126731789758627840, 11174048978431100158465802240, 15758295686409773988951621632]
Bit 93 [3069410283734626171235598336, 15758295686409773988951621632, 25661816000692816188144615424, 35565336314975858387337609216]
Bit 94 [15758295686409773988951621632, 25661816000692816188144615424, 42683491540866794968007573504, 65275897257824984984916590592]
Bit 95 [15758295686409773988951621632, 65275897257824984984916590592, 104889978514957153781688565760, 144504059772089322578460540928]
Bit 96 [15758295686409773988951621632, 144504059772089322578460540928, 223732222286353660172004491264, 302960384800617997765548441600]
Bit 97 [144504059772089322578460540928, 223732222286353660172004491264, 332670945743467124363127422976, 540644872343411010546180292608]
Bit 98 [144504059772089322578460540928, 540644872343411010546180292608, 857557522400468360920356093952, 1174470172457525711294531895296]
Bit 99 [144504059772089322578460540928, 1174470172457525711294531895296, 1808295472571640412042883497984, 2442120772685755112791235100672]
Bit 100 [144504059772089322578460540928, 2442120772685755112791235100672, 3709771372913984514287938306048, 4977421973142213915784641511424]
Bit 101 [144504059772089322578460540928, 4977421973142213915784641511424, 7512723173598672718778047922176, 10048024374055131521771454332928]
Bit 102 [4977421973142213915784641511424, 7512723173598672718778047922176, 10285708861597924534552086183936, 17653927975424507930751673565184]
Bit 103 [4977421973142213915784641511424, 17653927975424507930751673565184, 27795132777250343142725299208192, 37936337579076178354698924851200]
Bit 104 [17653927975424507930751673565184, 27795132777250343142725299208192, 45542241180445554763679144083456, 68359951984553683990619801780224]
Bit 105 [17653927975424507930751673565184, 68359951984553683990619801780224, 108924771191857024838514304352256, 149489590399160365686408806924288]
Bit 106 [17653927975424507930751673565184, 149489590399160365686408806924288, 230619228813767047382197812068352, 311748867228373729077986817212416]
Bit 107 [17653927975424507930751673565184, 311748867228373729077986817212416, 474008144057587092469564827500544, 636267420886800455861142837788672]
Bit 108 [311748867228373729077986817212416, 474008144057587092469564827500544, 666691035292277961497063714717696, 1123045251374440546035876868653056]
Bit 109 [474008144057587092469564827500544, 666691035292277961497063714717696, 1609823081862080636210610899517440, 1964765249925984868629687797022720]
Bit 110 [474008144057587092469564827500544, 1964765249925984868629687797022720, 3262839464559691775762311879327744, 4560913679193398682894935961632768]
Bit 111 [474008144057587092469564827500544, 4560913679193398682894935961632768, 7157062108460812497160184126242816, 9753210537728226311425432290852864]
Bit 112 [474008144057587092469564827500544, 9753210537728226311425432290852864, 14945507396263053939955928620072960, 20137804254797881568486424949293056]
Bit 113 [9753210537728226311425432290852864, 14945507396263053939955928620072960, 21243195578196897606591550144380928, 35714694830402364454077913936953344]
Bit 114 [14945507396263053939955928620072960, 21243195578196897606591550144380928, 51291585406006847339669402924613632, 62781570446475518634835520778141696]
Bit 115 [14945507396263053939955928620072960, 62781570446475518634835520778141696, 104319945314754139663079491411902464, 145858320183032760691323462045663232]
Bit 116 [14945507396263053939955928620072960, 145858320183032760691323462045663232, 228935069919590002747811403313184768, 312011819656147244804299344580706304]
Bit 117 [145858320183032760691323462045663232, 228935069919590002747811403313184768, 347252506342492022165907693690159104, 561242068865818970973763168383270912]
Bit 118 [228935069919590002747811403313184768, 347252506342492022165907693690159104, 810472318075490697143226992185835520, 1011866504234949958617811223830331392]
Bit 119 [228935069919590002747811403313184768, 1011866504234949958617811223830331392, 1676480502127407895069714753970503680, 2341094500019865831521618284110675968]
Bit 120 [228935069919590002747811403313184768, 2341094500019865831521618284110675968, 3670322495804781704425425344391020544, 4999550491589697577329232404671365120]
Bit 121 [2341094500019865831521618284110675968, 3670322495804781704425425344391020544, 5545847053059253494363039644434563072, 8987234478944445196040653585512398848]
Bit 122 [2341094500019865831521618284110675968, 8987234478944445196040653585512398848, 14304146462084108687655881826633777152, 19621058445223772179271110067755155456]
Bit 123 [8987234478944445196040653585512398848, 14304146462084108687655881826633777152, 23608742432578519797982531248596189184, 35571794394642762654116794791119290368]
Bit 124 [14304146462084108687655881826633777152, 23608742432578519797982531248596189184, 51522530344061753128962479514483425280, 66144038297695827730904357177567215616]
Bit 125 [23608742432578519797982531248596189184, 51522530344061753128962479514483425280, 99374738192318724553499533684575830016, 136593122074296368994806131372425478144]
Bit 126 [23608742432578519797982531248596189184, 136593122074296368994806131372425478144, 221663713804530984860649783230367531008, 306734305534765600726493435088309583872]
Bit 127 [23608742432578519797982531248596189184, 306734305534765600726493435088309583872, 476875488995234832458180738804193689600, 647016672455704064189868042520077795328]
Bit 128 [306734305534765600726493435088309583872, 476875488995234832458180738804193689600, 704173476274455446724731746112132612096, 1157440222837111759384929953667730112512]
Bit 129 [306734305534765600726493435088309583872, 1157440222837111759384929953667730112512, 1838004956678988686311679168531266535424, 2518569690520865613238428383394802958336]
Bit 130 [1157440222837111759384929953667730112512, 1838004956678988686311679168531266535424, 3028993240902273308433490294542455275520, 4560263892046496394018676027985412227072]
Bit 131 [1838004956678988686311679168531266535424, 3028993240902273308433490294542455275520, 6601958093572127174798923672576021495808, 8473511111637288723847484013450746658816]
Bit 132 [3028993240902273308433490294542455275520, 6601958093572127174798923672576021495808, 12727040698149019517139666606347849302016, 17490993835042158005626911110392604262400]
Bit 133 [6601958093572127174798923672576021495808, 12727040698149019517139666606347849302016, 24807064723842334970089465170175620808704, 34505112181089081178795641481981014835200]
Bit 134 [12727040698149019517139666606347849302016, 24807064723842334970089465170175620808704, 50158101059452250498110873423842352562176, 68363207689722458293401414921441951875072]
Bit 135 [12727040698149019517139666606347849302016, 68363207689722458293401414921441951875072, 111919350655602581616713364672708282941440, 155475493621482704940025314423974614007808]
Bit 136 [68363207689722458293401414921441951875072, 111919350655602581616713364672708282941440, 186951612561669512810387465611413173567488, 286143922519123074909961163677773607206912]
Bit 137 [111919350655602581616713364672708282941440, 186951612561669512810387465611413173567488, 416812351416763444879897012931572600406016, 535400756288710499396883063621543822098432]
Bit 138 [186951612561669512810387465611413173567488, 416812351416763444879897012931572600406016, 808817638109684554789704560692969580003328, 1113710638870845418052888208951833897467904]
Bit 139 [186951612561669512810387465611413173567488, 1113710638870845418052888208951833897467904, 1810608926324927391225879404972095194529792, 2507507213779009364398870600992356491591680]
Bit 140 [1113710638870845418052888208951833897467904, 1810608926324927391225879404972095194529792, 2974544762377997405502352249692458361815040, 4598202076141255283917844189053140382777344]
Bit 141 [1810608926324927391225879404972095194529792, 2974544762377997405502352249692458361815040, 6688896938503501203436817777113924273963008, 8549731062010653190886281817854548738310144]
Bit 142 [2974544762377997405502352249692458361815040, 6688896938503501203436817777113924273963008, 12960981525590238961993738541296275947520000, 17839269537768812774204676913438105026953216]
Bit 143 [2974544762377997405502352249692458361815040, 17839269537768812774204676913438105026953216, 28989642137034124344972536049762285779943424, 40140014736299435915740395186086466532933632]
Bit 144 [2974544762377997405502352249692458361815040, 40140014736299435915740395186086466532933632, 62440759934830059057276113458734828038914048, 84741505133360682198811831731383189544894464]
Bit 145 [40140014736299435915740395186086466532933632, 62440759934830059057276113458734828038914048, 92177525556500489971645225340285904385736704, 151643740728952551623418986549328274062835712]
Bit 146 [40140014736299435915740395186086466532933632, 151643740728952551623418986549328274062835712, 240846721523075044189561859639921720086757376, 330049702317197536755704732730515166110679040]
Bit 147 [40140014736299435915740395186086466532933632, 330049702317197536755704732730515166110679040, 508455663905442521887990478911702058158522368, 686861625493687507020276225092888950206365696]
Bit 148 [330049702317197536755704732730515166110679040, 508455663905442521887990478911702058158522368, 753763861089279376444883379910834034724306944, 1222079510258422462417133463636449626349895680]
Bit 149 [508455663905442521887990478911702058158522368, 753763861089279376444883379910834034724306944, 1757297395023157417813990702180010302493425664, 2181011553795239257503169349360329171107053568]
Bit 150 [753763861089279376444883379910834034724306944, 1757297395023157417813990702180010302493425664, 3362951049317362284004562417810692330924015616, 4611792780435077179930562641079000575258918912]
Bit 151 [753763861089279376444883379910834034724306944, 4611792780435077179930562641079000575258918912, 7466288165846996942047134579977990848024412160, 10320783551258916704163706518876981120789905408]
Bit 152 [4611792780435077179930562641079000575258918912, 7466288165846996942047134579977990848024412160, 12171745402736958424911171135506795125786279936, 18884269707494675990513422335573951939086385152]
Bit 153 [4611792780435077179930562641079000575258918912, 18884269707494675990513422335573951939086385152, 30302251249142355038979710091169913030148358144, 41720232790790034087445997846765874121210331136]
Bit 154 [4611792780435077179930562641079000575258918912, 41720232790790034087445997846765874121210331136, 64556195874085392184378573357957796303334277120, 87392158957380750281311148869149718485458223104]
Bit 155 [41720232790790034087445997846765874121210331136, 64556195874085392184378573357957796303334277120, 95955645113616509567660864685846689303754702848, 155900048207266824572108875402725485031830061056]
Bit 156 [64556195874085392184378573357957796303334277120, 95955645113616509567660864685846689303754702848, 224407937457152898862906601936301251578201899008, 278643349779979374343121468775382066760746270720]
Bit 157 [64556195874085392184378573357957796303334277120, 278643349779979374343121468775382066760746270720, 461331054446342239118582072864917444217737838592, 644018759112705103894042676954452821674729406464]
Bit 158 [278643349779979374343121468775382066760746270720, 461331054446342239118582072864917444217737838592, 795307014539536851286220989716099306131300548608, 1192081873111793698220424489223058954045704110080]
Bit 159 [278643349779979374343121468775382066760746270720, 1192081873111793698220424489223058954045704110080, 1922832691777245157322266905581200463873670381568, 2653583510442696616424109321939341973701636653056]
Bit 160 [1192081873111793698220424489223058954045704110080, 1922832691777245157322266905581200463873670381568, 3201646624441785210750491134207948106072611356672, 4845835966439050993729636571013766503185535467520]
Bit 161 [1922832691777245157322266905581200463873670381568, 3201646624441785210750491134207948106072611356672, 7038088422435405371035163820088191032669434281984, 9047653173765396883565230465073080184696341528576]
Bit 162 [3201646624441785210750491134207948106072611356672, 7038088422435405371035163820088191032669434281984, 13614845790424468502951745567311464621121130725376, 18730101521082628716664642481818455189916894625792]
Bit 163 [3201646624441785210750491134207948106072611356672, 18730101521082628716664642481818455189916894625792, 30422114619729852062294121143548719347164354969600, 42114127718377075407923599805278983504411815313408]
Bit 164 [18730101521082628716664642481818455189916894625792, 30422114619729852062294121143548719347164354969600, 49969699019030678593268405781129004735062452731904, 77190167014318745444812035790469775976154196344832]
Bit 165 [18730101521082628716664642481818455189916894625792, 77190167014318745444812035790469775976154196344832, 123958219408907638827329950437390832605144037720064, 170726271803496532209847865084311889234133879095296]
Bit 166 [77190167014318745444812035790469775976154196344832, 123958219408907638827329950437390832605144037720064, 205802311099438202246736301069502681705876260126720, 311030428987263212357401609025075059121103403220992]
Bit 167 [77190167014318745444812035790469775976154196344832, 311030428987263212357401609025075059121103403220992, 498102638565618785887473267612759285637062768721920, 685174848143974359417544926200443512153022134222848]
Bit 168 [77190167014318745444812035790469775976154196344832, 685174848143974359417544926200443512153022134222848, 1059319267300685506477688243375811965184940865224704, 1433463686457396653537831560551180418216859596226560]
Bit 169 [685174848143974359417544926200443512153022134222848, 1059319267300685506477688243375811965184940865224704, 1573767843641163333685385304491943588103829120352256, 2555896943927530094718261512077285777312615789232128]
Bit 170 [685174848143974359417544926200443512153022134222848, 2555896943927530094718261512077285777312615789232128, 4052474620554374682958834780778759589440290713239552, 5549052297181219271199408049480233401567965637246976]
Bit 171 [685174848143974359417544926200443512153022134222848, 5549052297181219271199408049480233401567965637246976, 8542207650434908447680554586883181025823315485261824, 11535363003688597624161701124286128650078665333276672]
Bit 172 [5549052297181219271199408049480233401567965637246976, 8542207650434908447680554586883181025823315485261824, 12657796261158731065342131075812234009174421526282240, 20514829063449665153605140736494971522844714877321216]
Bit 173 [5549052297181219271199408049480233401567965637246976, 20514829063449665153605140736494971522844714877321216, 32487450476464421859529726886106762019866114269380608, 44460071889479178565454313035718552516887513661440000]
Bit 174 [20514829063449665153605140736494971522844714877321216, 32487450476464421859529726886106762019866114269380608, 53439537949240246094897752647927395389653563205484544, 80377936128523448683228071484553924007951711837618176]
Bit 175 [20514829063449665153605140736494971522844714877321216, 80377936128523448683228071484553924007951711837618176, 128268421780582475506926416083001085996037309405855744, 176158907432641502330624760681448247984122906974093312]
Bit 176 [80377936128523448683228071484553924007951711837618176, 128268421780582475506926416083001085996037309405855744, 212076771671685772448398519130283619475187105150271488, 319830364388818582801719794476789733948379699678806016]
Bit 177 [80377936128523448683228071484553924007951711837618176, 319830364388818582801719794476789733948379699678806016, 511392306997054690096513172870578381900722089951756288, 702954249605290797391306551264367029853064480224706560]
Bit 178 [319830364388818582801719794476789733948379699678806016, 511392306997054690096513172870578381900722089951756288, 846625706561467877862401585059708515817321272929419264, 1277640077429999119275686686445732973710091651043557376]
Bit 179 [511392306997054690096513172870578381900722089951756288, 846625706561467877862401585059708515817321272929419264, 1852325905254707441160066821627098917567118821862408192, 2379121247427356736220748612210017699436060395113021440]
Bit 180 [511392306997054690096513172870578381900722089951756288, 2379121247427356736220748612210017699436060395113021440, 3911616788293245594579095639360326883054799517296623616, 5444112329159134452937442666510636066673538639480225792]
Bit 181 [511392306997054690096513172870578381900722089951756288, 5444112329159134452937442666510636066673538639480225792, 8509103410890912169654136720811254433911016883847430144, 11574094492622689886370830775111872801148495128214634496]
Bit 182 [5444112329159134452937442666510636066673538639480225792, 8509103410890912169654136720811254433911016883847430144, 12771356633924165556963289390073051850850635067420573696, 20769067737818023036520912938013727902860929861316247552]
Bit 183 [5444112329159134452937442666510636066673538639480225792, 20769067737818023036520912938013727902860929861316247552, 33029032064745133903387689155216201371810842838785064960, 45288996391672244770254465372418674840760755816253882368]
Bit 184 [5444112329159134452937442666510636066673538639480225792, 45288996391672244770254465372418674840760755816253882368, 69808925045526466503988017806823621778660581771191517184, 94328853699380688237721570241228568716560407726129152000]
Bit 185 [45288996391672244770254465372418674840760755816253882368, 69808925045526466503988017806823621778660581771191517184, 103523826944576021387871652404130423818272842459230765056, 167888639660943353438922227544443409530259885590942056448]
Bit 186 [69808925045526466503988017806823621778660581771191517184, 103523826944576021387871652404130423818272842459230765056, 241448425622506018640122884847658250343959363455754960896, 299683256175409795257740071879369999321471450098731843584]
Bit 187 [103523826944576021387871652404130423818272842459230765056, 241448425622506018640122884847658250343959363455754960896, 462127783507194014243724856757302772785057797050193674240, 633767284084173566379859723798137401350356578734757117952]
Bit 188 [241448425622506018640122884847658250343959363455754960896, 462127783507194014243724856757302772785057797050193674240, 888161543867911116867345330305088725831067273017235079168, 1246765500430529109723198534658261074797852227608197988352]
Bit 189 [241448425622506018640122884847658250343959363455754960896, 1246765500430529109723198534658261074797852227608197988352, 2031403217353864205202672212559219376810646658166202302464, 2816040934277199300682145890460177678823441088724206616576]
